,Country,accessibility_to_cities,elevation,aspect,slope,cropland_cover,tree_canopy_cover,isothermality,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,sub-region,Continent,Continent_color
119,Belarus,79.96755058,161.1527381,173.29236569999998,0.0014256720000000002,51.46634046,24.87289447,24.66369688,111.5036568,29.00285832,100.1587811,624.1477146000001,32.13825942,231.67453819999997,84.27929349,231.67453819999997,32.80024705,-5.302794485,8.228642886,-4.2013718010000005,23.07258693,6.244619782000001,-9.727660113999999,87.78210573,17.10304917,17.10304917,Eastern Europe,Europe,xkcd:blue
120,Latvia,76.04271789,89.87191936,196.91885290000002,0.008585396,45.25324335,28.80422944,23.13618764,121.1216754,28.32176243,100.99500400000001,662.0438429,30.17830871,217.07123199999998,80.72356285,229.0845003,29.78241997,-4.844977127,7.040892652999999,-3.509028327,21.19771808,5.681214223,-8.584701888,81.57078235,15.97963833,14.0331019,Northern Europe,Europe,xkcd:blue
121,Republic of Serbia,41.25593944,402.3217027,159.0535626,0.754326532,58.30910626,20.210262300000004,31.85132178,156.0101998,44.62899882,141.0410564,704.2093819,20.34333574,203.21484669999998,84.19206608,226.0506165,30.12970483,0.432528005,9.755055778,3.2302642539999997,26.14717813,10.16437082,-3.982526695,72.92243712,19.14954719,16.83893705,Southern Europe,Europe,xkcd:blue
122,Croatia,42.84249698,302.73463710000004,162.31162759999998,0.81320264,41.206517600000005,27.01030488,31.15807452,237.22063799999998,55.813688600000006,180.33848830000002,989.7993826,23.43840906,242.52741290000003,119.7869352,327.7366852,28.84175799,1.6509972590000002,9.153328956000001,8.389967256,26.37403478,10.81432567,-2.4677231980000003,69.97395754,19.63106886,13.1811497,Southern Europe,Europe,xkcd:blue
123,Slovakia,44.64364635,460.9824197,178.6660302,0.920666014,49.241446999999994,32.30309845,30.42893616,134.6285595,39.45664148,123.5922306,753.1072432,32.48591585,277.8171811,102.3249818,278.4411687,30.63297437,-2.4669099709999998,9.478780227,-1.066368971,23.41366092,7.5770072079999995,-7.219313447999999,74.67724978,16.76967849,16.52335732,Eastern Europe,Europe,xkcd:blue
124,Hungary,39.16305059,149.6459721,177.431575,0.12456810199999999,68.84679559,12.64585693,30.24824003,113.70320459999999,31.51465183,100.476775,585.3626231000001,27.41573144,195.3451016,76.01136149999999,199.95301819999997,31.38885613,-0.119491129,9.650082403999999,1.576906177,26.7081315,10.34561351,-4.680724626,77.52510272,19.82995209,18.82666133,Eastern Europe,Europe,xkcd:blue
125,Austria,51.98273261,950.5300017999999,166.56930119999998,1.450009486,33.00355934,32.26420509,31.6412877,189.49562859999997,55.60656807,182.0356572,1049.228613,30.45925126,378.5821345,132.78879709999998,379.52941380000004,28.32866726,-3.20359507,9.129945086000001,-1.786864617,20.71571113,5.744182035,-7.6129561279999995,68.33476477,14.332711999999999,14.33018272,Western Europe,Europe,xkcd:blue
126,Czech Republic,29.95314563,453.47475599999996,172.7331371,0.540671738,58.75520456,23.75361951,30.06045725,113.5782476,33.37087997,106.68539750000001,663.8282406000001,36.15609201,254.4987946,89.58786501,254.4987946,27.93825069,-1.8756643480000001,8.541579305,-0.30722593800000003,22.23725008,7.335684228,-5.701000608999999,69.86437833,16.08160488,16.0801919,Eastern Europe,Europe,xkcd:blue
127,Switzerland,51.438753600000005,1306.401711,202.1534026,2.276436531,30.33206282,25.10529803,29.59000811,297.3540432,86.42610049,274.0593707,1338.427735,18.48479441,401.67091519999997,146.861186,415.39058450000005,24.02751158,-2.623934158,7.276357867000001,0.632032027,17.88542645,4.929842409,-6.142085133999999,59.55781858,12.49037692,10.01104033,Western Europe,Europe,xkcd:blue
128,Iceland,366.5185757,,,,1.698975745,6.748368662000001,32.43413929,329.2505256,70.20403083,221.25012239999998,1173.663276,18.64673642,248.6462871,129.1706333,348.1720887,16.48527792,-3.259753639,5.432529785,4.627689706,10.38374152,1.140137562,-6.101536401000001,40.42098553,6.73605357,-1.126204259,Northern Europe,Europe,xkcd:blue
129,Marshall Islands,7211.8125,0.225538972,53.78964942,0.0,0.0,8.0,90.49498705,683.3358397999999,172.4694314,612.8797703,3351.662699,18.37142857,947.3000243999999,343.53061089999994,973.9673732000001,5.466728962,27.26662667,4.983978304,27.31295746,30.3543845,27.47928258,24.88765601,1.391216812,27.603572999999997,27.57213981,Micronesia,Australia and Oceania,xkcd:orange
130,Northern Mariana Islands,6667.571429,55.147683400000005,191.7799228,0.042471042,1.71990172,41.79761905,69.85801214,271.2770617,76.82809499,262.1457385,1994.8362129999998,50.01731146,570.4734466,309.9536021,873.8992445,7.43721658,25.18775284,5.189133751,25.5251849,29.98558876,26.32905799,22.54837244,7.367594262000001,27.02473896,26.82899166,Micronesia,Australia and Oceania,xkcd:orange
131,Fiji,306.66411339999996,174.99702659999997,178.8326802,0.7956431740000001,0.0,56.36065608,63.50420224,350.3048056,103.9363296,345.2245891,2593.2258859999997,41.34123969,1009.256808,362.7959071,1013.624756,9.803187782,22.40326345,6.253608712,22.45496956,29.30899571,24.08294878,19.50580794,12.3903013,25.57186512,25.51629485,Melanesia,Australia and Oceania,xkcd:orange
132,Solomon Islands,855.8028635,216.29735490000002,116.20129140000002,1.076349774,0.0,71.89622794,84.10490543,660.2198417999999,179.3594157,609.1386547999999,3178.8081239999997,27.37303518,997.3382095000001,398.7720194,1116.7619710000001,8.53620987,24.47316245,7.2206575,24.7552639,29.42359655,25.15258609,20.88738671,4.406592736,25.59514081,25.54285465,Melanesia,Australia and Oceania,xkcd:orange
